Date_time;Water_value
04.12.2020 23:00;175
05.12.2020 23:00;175
06.12.2020 23:00;165
07.12.2020 23:00;165
08.12.2020 23:00;165
09.12.2020 23:00;165
10.12.2020 23:00;165
11.12.2020 23:00;165
12.12.2020 23:00;165
13.12.2020 23:00;165
14.12.2020 23:00;195
15.12.2020 23:00;195
16.12.2020 23:00;195
17.12.2020 23:00;195
18.12.2020 23:00;195
19.12.2020 23:00;195
20.12.2020 23:00;195
21.12.2020 23:00;195
22.12.2020 23:00;195
24.12.2020 23:00;195
25.12.2020 23:00;195
26.12.2020 23:00;195
27.12.2020 23:00;195
28.12.2020 23:00;195
29.12.2020 23:00;195
30.12.2020 23:00;195
31.12.2020 23:00;195
01.01.2021 23:00;195
02.01.2021 23:00;195
03.01.2021 23:00;290
04.01.2021 23:00;334
05.01.2021 23:00;334
06.01.2021 23:00;334
07.01.2021 23:00;425
08.01.2021 23:00;425
09.01.2021 23:00;425
10.01.2021 23:00;510
11.01.2021 23:00;510
12.01.2021 23:00;510
13.01.2021 23:00;510
14.01.2021 23:00;510
15.01.2021 23:00;510
16.01.2021 23:00;510
17.01.2021 23:00;447
18.01.2021 23:00;455
19.01.2021 23:00;455
20.01.2021 23:00;455
21.01.2021 23:00;455
22.01.2021 23:00;455
23.01.2021 23:00;455
24.01.2021 23:00;458
25.01.2021 23:00;458
26.01.2021 23:00;458
27.01.2021 23:00;487
28.01.2021 23:00;487
29.01.2021 23:00;487
30.01.2021 23:00;487
31.01.2021 23:00;550
01.02.2021 23:00;550
02.02.2021 23:00;550
03.02.2021 23:00;550
04.02.2021 23:00;550
05.02.2021 23:00;550
06.02.2021 23:00;518
07.02.2021 23:00;518
08.02.2021 23:00;518
09.02.2021 23:00;518
10.02.2021 23:00;518
11.02.2021 23:00;518
12.02.2021 23:00;518
13.02.2021 23:00;518
14.02.2021 23:00;507
15.02.2021 23:00;430
16.02.2021 23:00;430
17.02.2021 23:00;430
18.02.2021 23:00;420
19.02.2021 23:00;420
20.02.2021 23:00;420
21.02.2021 23:00;420
22.02.2021 23:00;420
23.02.2021 23:00;420
24.02.2021 23:00;420
25.02.2021 23:00;365
26.02.2021 23:00;365
27.02.2021 23:00;365
28.02.2021 23:00;301
01.03.2021 23:00;301
02.03.2021 23:00;301
03.03.2021 23:00;301
04.03.2021 23:00;301
05.03.2021 23:00;301
06.03.2021 23:00;301
07.03.2021 23:00;270
08.03.2021 23:00;280
09.03.2021 23:00;280
10.03.2021 23:00;280
11.03.2021 23:00;280
12.03.2021 23:00;280
13.03.2021 23:00;280
14.03.2021 23:00;282
15.03.2021 23:00;282
16.03.2021 23:00;282
17.03.2021 23:00;282
18.03.2021 23:00;282
19.03.2021 23:00;282
20.03.2021 23:00;282
21.03.2021 23:00;250
22.03.2021 23:00;250
23.03.2021 23:00;250
24.03.2021 23:00;250
25.03.2021 23:00;250
26.03.2021 23:00;250
27.03.2021 23:00;250
28.03.2021 22:00;250
29.03.2021 22:00;250
30.03.2021 22:00;250
31.03.2021 22:00;250
01.04.2021 22:00;250
02.04.2021 22:00;250
03.04.2021 22:00;250
04.04.2021 22:00;250
05.04.2021 22:00;250
06.04.2021 22:00;245
07.04.2021 22:00;225
08.04.2021 22:00;225
09.04.2021 22:00;225
10.04.2021 22:00;225
11.04.2021 22:00;225
12.04.2021 22:00;225
13.04.2021 22:00;225
14.04.2021 22:00;225
15.04.2021 22:00;250
16.04.2021 22:00;250
17.04.2021 22:00;250
18.04.2021 22:00;310
19.04.2021 22:00;310
20.04.2021 22:00;310
21.04.2021 22:00;310
22.04.2021 22:00;310
23.04.2021 22:00;300
24.04.2021 22:00;300
25.04.2021 22:00;300
26.04.2021 22:00;300
27.04.2021 22:00;300
28.04.2021 22:00;300
29.04.2021 22:00;300
30.04.2021 22:00;300
01.05.2021 22:00;300
02.05.2021 22:00;300
03.05.2021 22:00;300
04.05.2021 22:00;300
05.05.2021 22:00;300
06.05.2021 22:00;300
07.05.2021 22:00;300
08.05.2021 22:00;300
09.05.2021 22:00;300
10.05.2021 22:00;300
11.05.2021 22:00;300
12.05.2021 22:00;300
13.05.2021 22:00;300
14.05.2021 22:00;300
15.05.2021 22:00;300
16.05.2021 22:00;300
17.05.2021 22:00;300
18.05.2021 22:00;281
19.05.2021 22:00;281
20.05.2021 22:00;281
21.05.2021 22:00;281
22.05.2021 22:00;281
23.05.2021 22:00;281
24.05.2021 22:00;348
25.05.2021 22:00;348
26.05.2021 22:00;348
27.05.2021 22:00;348
28.05.2021 22:00;348
29.05.2021 22:00;348
30.05.2021 22:00;388
31.05.2021 22:00;388
01.06.2021 22:00;388
02.06.2021 22:00;388
03.06.2021 22:00;388
04.06.2021 22:00;388
05.06.2021 22:00;388
06.06.2021 22:00;388
07.06.2021 22:00;373
08.06.2021 22:00;373
09.06.2021 22:00;373
10.06.2021 22:00;373
11.06.2021 22:00;373
12.06.2021 22:00;373
13.06.2021 22:00;373
14.06.2021 22:00;427
15.06.2021 22:00;427
16.06.2021 22:00;427
17.06.2021 22:00;427
18.06.2021 22:00;427
19.06.2021 22:00;427
20.06.2021 22:00;427
21.06.2021 22:00;435
22.06.2021 22:00;435
23.06.2021 22:00;435
24.06.2021 22:00;435
25.06.2021 22:00;435
26.06.2021 22:00;435
27.06.2021 22:00;435
28.06.2021 22:00;435
29.06.2021 22:00;479
30.06.2021 22:00;479
01.07.2021 22:00;479
02.07.2021 22:00;479
03.07.2021 22:00;479
04.07.2021 22:00;479
05.07.2021 22:00;603
06.07.2021 22:00;603
07.07.2021 22:00;603
08.07.2021 22:00;603
09.07.2021 22:00;603
10.07.2021 22:00;603
11.07.2021 22:00;603
12.07.2021 22:00;661
13.07.2021 22:00;661
14.07.2021 22:00;661
15.07.2021 22:00;661
16.07.2021 22:00;661
17.07.2021 22:00;661
18.07.2021 22:00;661
19.07.2021 22:00;624
20.07.2021 22:00;624
21.07.2021 22:00;624
22.07.2021 22:00;624
23.07.2021 22:00;624
24.07.2021 22:00;624
25.07.2021 22:00;624
26.07.2021 22:00;624
27.07.2021 22:00;624
28.07.2021 22:00;624
29.07.2021 22:00;624
30.07.2021 22:00;624
31.07.2021 22:00;624
01.08.2021 22:00;624
02.08.2021 22:00;624
03.08.2021 22:00;624
04.08.2021 22:00;624
05.08.2021 22:00;624
06.08.2021 22:00;624
07.08.2021 22:00;624
08.08.2021 22:00;624
09.08.2021 22:00;800
10.08.2021 22:00;800
11.08.2021 22:00;800
12.08.2021 22:00;800
13.08.2021 22:00;800
14.08.2021 22:00;800
15.08.2021 22:00;800
16.08.2021 22:00;818
17.08.2021 22:00;818
18.08.2021 22:00;818
19.08.2021 22:00;630
20.08.2021 22:00;630
21.08.2021 22:00;630
22.08.2021 22:00;600
23.08.2021 22:00;600
24.08.2021 22:00;600
25.08.2021 22:00;600
26.08.2021 22:00;680
27.08.2021 22:00;680
28.08.2021 22:00;680
29.08.2021 22:00;710
30.08.2021 22:00;730
31.08.2021 22:00;730
01.09.2021 22:00;730
02.09.2021 22:00;730
03.09.2021 22:00;730
04.09.2021 22:00;730
05.09.2021 22:00;730
06.09.2021 22:00;670
07.09.2021 22:00;670
08.09.2021 22:00;670
09.09.2021 22:00;30
10.09.2021 22:00;673
11.09.2021 22:00;673
12.09.2021 22:00;500
13.09.2021 22:00;570
14.09.2021 22:00;570
15.09.2021 22:00;570
16.09.2021 22:00;570
17.09.2021 22:00;570
18.09.2021 22:00;570
19.09.2021 22:00;764
20.09.2021 22:00;758
21.09.2021 22:00;758
22.09.2021 22:00;758
23.09.2021 22:00;758
24.09.2021 22:00;758
25.09.2021 22:00;758
26.09.2021 22:00;758
27.09.2021 22:00;572
28.09.2021 22:00;572
29.09.2021 22:00;572
30.09.2021 22:00;572
01.10.2021 22:00;572
02.10.2021 22:00;572
03.10.2021 22:00;590
04.10.2021 22:00;590
05.10.2021 22:00;590
06.10.2021 22:00;590
07.10.2021 22:00;520
08.10.2021 22:00;520
09.10.2021 22:00;520
10.10.2021 22:00;480
11.10.2021 22:00;370
